apertium-pt-gl,359
apf,360
apf-firewall,361
apg,362
apgdiff,363
api-sanity-checker,364
apipkg,365
apitrace,366
aplus-fsf,367
apmd,368
apng2gif,369
apngasm,370
apngdis,371
apngopt,372
apoo,373
apophenia,374
app-install-data-partner,375
app-install-data-ubuntu,376
apparix,377
apparmor,378
apparmor-easyprof-ubuntu,379
apparmor-profiles-extra,380
appconfig,381
appdirs,382
apper,383
appmenu-qt,384
appmenu-qt5,385
apport,386
approx,387
appstream,388
appstream-data,389
appstream-dep11,390
appstream-glib,391
apq,392
apq-postgresql,393
apr,394
apr-util,395
apron,396
aprsdigi,397
aprx,398
apscheduler,399
apsfilter,400
apt,401
apt-btrfs-snapshot,402
apt-build,403
apt-cacher,404
apt-cacher-ng,405
apt-clone,406
apt-dater,407
apt-dater-host,408
apt-dpkg-ref,409
apt-file,410
apt-forktracer,411
apt-listchanges,412
apt-listdifferences,413
apt-mirror,414
apt-move,415
apt-offline,416
apt-p2p,417
apt-rdepends,418
apt-show-source,419
apt-show-versions,420
apt-spacewalk,421
apt-src,422
apt-transport-s3,423
apt-transport-tor,424
apt-venv,425
apt-xapian-index,426
aptdaemon,427
apticron,428
aptitude,429
aptitude-robot,430
aptly,431
aptoncd,432
aptsh,433
apturl,434
apvlv,435
apwal,436
aqemu,437
aqsis,438
ara,439
aragorn,440
arandr,441
aranym,442
arb,443
arbiterjs,444
arbtt,445
arc,446
arc-gui-clients,447
archipel-agent-action-scheduler,448
archipel-agent-hypervisor-geolocalization,449
archipel-agent-hypervisor-health,450
archipel-agent-hypervisor-network,451
archipel-agent-hypervisor-platformrequest,452
archipel-agent-iphone-notification,453
archipel-agent-virtualmachine-oomkiller,454
archipel-agent-virtualmachine-snapshoting,455
archipel-agent-virtualmachine-vnc,456
archipel-agent-vmcasting,457
archipel-agent-vmparking,458
archipel-agent-xmppserver,459
archipel-core,460
archivemail,461
archivemount,462
archmbox,463
arden,464
ardentryst,465
ardesia,466
arduino-mighty-1284p,467
arduino-mk,468
arename,469
argonaut,470
argparse4j,471
args4j,472
argtable2,473
argus-client,474
argvalidate,475
argyll,476
aria2,477
aribas,478
ario,479
arj,480
armada-backlight,481
armagetronad,482
arno-iptables-firewall,483
aroarfw,484
arora,485
arp-scan,486
arpack,487
arpack++,488
arpalert,489
arping,490
arpon,491
arptables,492
arpwatch,493
array-info,494
arrayfire,495
arriero,496
artha,497
as31,498
asc,499
asc-music,500
ascd,501
ascdc,502
ascii,503
ascii2binary,504
asciidoc,505
asciidoctor,506
asciijump,507
asciimathtml,508
asciinema,509
asciio,510
asclock,511
asedriveiiie,512
aseprite,513
asic0x,514
asio,515
asis,516
ask,517
asl,518
asm2,519
asm3,520
asmail,521
asmix,522
asmixer,523
asmon,524
asn1c,525
asp,526
aspcud,527
aspectj,528
aspectj-maven-plugin,529
aspell,530
aspell-am,531
aspell-ar,532
aspell-ar-large,533
aspell-br,534
aspell-cs,535
aspell-cy,536
aspell-el,537
aspell-en,538
aspell-fa,539
aspell-fr,540
aspell-ga,541
aspell-gu,542
aspell-he,543
aspell-hi,544
aspell-hr,545
aspell-hsb,546
aspell-hu,547
aspell-hy,548
aspell-id,549
aspell-is,550
aspell-it,551
aspell-kk,552
aspell-kn,553
aspell-ku,554
aspell-ml,555
aspell-mr,556
aspell-or,557
aspell-pa,558
aspell-pl,559
aspell-pt,560
aspell-ro,561
aspell-sk,562
aspell-sl,563
aspell-sv,564
aspell-ta,565
aspell-te,566
aspell-tl,567
aspell-uz,568
aspic,569
asql,570
asr-manpages,571
assaultcube,572
assaultcube-data,573
assetic,574
assimp,575
assword,576
aster,577
asterisk-core-sounds,578
asterisk-espeak,579
asterisk-flite,580
asterisk-moh-opsound,581
asterisk-prompt-de,582
asterisk-prompt-es,583
asterisk-prompt-es-co,584
asterisk-prompt-fr-armelle,585
asterisk-prompt-fr-proformatique,586
asterisk-prompt-se,587
asterisk-testsuite,588
astk,589
astlib,590
astroid,591
astromenace,592
astromenace-data,593
astrometry.net,594
astronomical-almanac,595
astroquery,596
astyle,597
asunder,598
asused,599
asylum,600
asymptote,601
async-http-client,602
at,603
at-spi2-atk,604
at-spi2-core,605
atanks,606
